standard
SPECTRUM - MS
ABC_100PPB.raw
FTMS + c ESI d Full ms2 332.1404@hcd50.00 [50.0000-355.0000]
Scan #: 1917
RT: 6.53
Data points: 75
Mass	Intensity
56.050438	2670.177246
58.066063	2506.739746
65.777351	4261.662598
65.780823	1289.378418
70.065994	6073.166992
83.502480	1281.359131
84.771004	1391.224976
99.563278	1294.658936
101.796715	1343.804443
134.059769	1569.212280
135.048096	7556.767090
135.056870	1355.553955
136.055679	4576.556641
141.306885	1420.653442
148.055771	7562.928223
154.064972	2691.099365
155.060364	3112.066895
156.068039	2873.041992
161.050629	2115.807861
162.034470	3306.794678
163.065918	2679.690918
164.050735	2175.731934
169.075867	3217.500244
171.054321	1677.311523
172.055557	2773.801758
174.058105	3352.860352
174.071671	2890.540283
175.066605	3762.370361
176.050232	1903.768799
176.074249	7372.653320
178.053696	3586.640869
180.044998	3871.111572
185.071869	1969.145630
187.067001	4198.060547
188.051376	1949.980713
189.046036	23683.390625
189.082199	5181.375488
189.680206	1644.235474
191.061417	12977.203125
192.045685	1919.475098
192.069748	1773.983154
197.071030	2373.001953
201.082001	2942.839844
202.066406	4261.422363
202.090515	2392.917236
203.061508	45167.414063
204.069153	23043.351563
205.077209	27120.781250
212.081787	2933.931152
215.061661	4724.241699
216.069107	3349.504639
217.077118	5631.752930
217.113663	2405.137695
218.085159	2661.493408
219.056213	4645.671875
219.091141	1852.191040
226.096802	1657.076172
227.100800	2053.623047
229.077499	4591.511230
231.056458	104976.757813
231.091156	18619.250000
240.113434	2148.095215
243.091049	1939.720581
245.108398	71440.726563
249.067032	11388.533203
257.108917	1924.157471
261.101563	3236.228027
268.144592	7564.437988
273.092468	1331.008545
286.135406	3158.323975
288.150635	66227.398438
312.135040	7418.811035
314.130310	3852.408691
332.140533	398536.156250
332.176178	31078.466797

sample
SPECTRUM - MS
DSH-D-1.raw
FTMS + c ESI d Full ms2 332.1406@hcd50.00 [50.0000-355.0000]
Scan #: 1937
RT: 6.39
Data points: 83
Mass	Intensity
50.605301	1175.857056
52.405731	1182.705811
52.505974	1243.827026
53.039349	1418.044189
56.050243	4359.841797
56.965591	1245.480957
59.517624	1348.207642
69.034332	1663.872803
70.066032	8280.566406
70.104591	1462.755127
79.054878	1706.081665
84.933922	1260.595337
84.960609	1815.797485
85.429764	1689.650757
86.060555	1786.055420
86.097275	2031.879517
91.054771	1828.830444
119.048645	1591.071777
124.075386	2929.775391
129.070038	1884.066406
130.065704	2654.517822
134.040268	2000.542603
135.047562	4357.436035
136.055588	3929.163574
136.075790	1988.558350
137.023605	1947.180298
142.064774	1944.980347
148.055420	5806.185059
155.060226	2966.736816
156.079819	1862.145752
161.051346	1861.135986
161.064346	1904.938110
162.034775	1514.372437
162.091202	2740.842529
163.066330	3069.166504
164.052322	1367.443481
164.106064	1944.755127
166.019699	1844.296875
169.075836	2726.328857
172.055817	2016.958374
174.058197	1926.211548
174.071457	2904.585205
175.066940	4851.682617
176.049911	1347.018677
176.074341	5601.327148
178.053604	1775.518188
180.045944	1764.083496
182.084091	1914.253906
185.069580	1507.827881
187.066635	5025.013184
189.045883	14367.804688
190.054352	1719.226440
191.061935	8294.870117
200.052444	1515.358154
202.066940	3136.619385
202.089584	1552.606689
203.061523	31996.757813
204.069366	19982.890625
205.077271	21043.568359
212.081619	2253.883301
215.062027	2793.824219
216.068741	1671.820557
217.077057	5515.667480
218.046341	2069.773193
218.084320	1518.888184
219.093903	2262.135742
223.087479	1375.518066
227.104752	2076.287354
229.077606	3617.169922
231.056519	116444.492188
231.090591	10401.984375
238.099121	1548.578247
245.108444	49404.625000
247.142944	1710.454346
249.066849	7923.037598
268.143982	5545.007324
286.134399	1675.934937
288.150604	59327.175781
312.134033	5641.879395
314.129852	7584.452637
332.140564	334546.468750
346.158203	2371.257324
353.167999	1413.810303
